Protein,label,Y_Prob,Pred_label
HFM1_HUMAN,0.0,0.19136983,0
HFM1_HUMAN,0.0,0.3878337,0
HFM1_HUMAN,0.0,0.7708706,1
HFM1_HUMAN,0.0,0.961388,1
HFM1_HUMAN,0.0,0.94500923,1
HFM1_HUMAN,0.0,0.9488405,1
HFM1_HUMAN,0.0,0.8346759,1
HFM1_HUMAN,0.0,0.8031692,1
HFM1_HUMAN,0.0,0.75608206,1
HFM1_HUMAN,0.0,0.7740004,1
HFM1_HUMAN,0.0,0.88787997,1
HFM1_HUMAN,0.0,0.47519824,0
HFM1_HUMAN,0.0,0.53196836,1
HFM1_HUMAN,0.0,0.26792005,0
HFM1_HUMAN,0.0,0.17647834,0
HFM1_HUMAN,0.0,0.29871356,0
HFM1_HUMAN,0.0,0.46850845,0
HFM1_HUMAN,0.0,0.24233343,0
HFM1_HUMAN,0.0,0.64489454,1
VWA8_HUMAN,0.0,0.71602714,1
VWA8_HUMAN,0.0,0.5882379,1
VWA8_HUMAN,0.0,0.72074974,1
VWA8_HUMAN,0.0,0.59038043,1
VWA8_HUMAN,0.0,0.41750595,0
VWA8_HUMAN,0.0,0.377206,0
VWA8_HUMAN,0.0,0.41138688,0
VWA8_HUMAN,0.0,0.34766817,0
VWA8_HUMAN,0.0,0.7457214,1
VWA8_HUMAN,0.0,0.5764588,1
VWA8_HUMAN,0.0,0.94344866,1
VWA8_HUMAN,0.0,0.9063947,1
VWA8_HUMAN,0.0,0.860511,1
VWA8_HUMAN,0.0,0.7881128,1
VWA8_HUMAN,0.0,0.5543917,1
VWA8_HUMAN,0.0,0.25621685,0
VWA8_HUMAN,0.0,0.21881633,0
VWA8_HUMAN,0.0,0.30159482,0
VWA8_HUMAN,0.0,0.26586637,0
VWA8_HUMAN,0.0,0.21088395,0
VWA8_HUMAN,0.0,0.19086406,0
VWA8_HUMAN,0.0,0.37074402,0
VWA8_HUMAN,0.0,0.59077334,1
VWA8_HUMAN,0.0,0.6456703,1
VWA8_HUMAN,0.0,0.66071206,1
VWA8_HUMAN,0.0,0.66051686,1
F221B_HUMAN,0.0,0.74378216,1
F221B_HUMAN,0.0,0.5132006,1
F221B_HUMAN,0.0,0.34604624,0
CMI2B_HUMAN,0.0,0.2389461,0
AHRR_HUMAN,0.0,0.99547076,1
AHRR_HUMAN,0.0,0.9906949,1
AHRR_HUMAN,0.0,0.96736276,1
AHRR_HUMAN,0.0,0.19127384,0
AHRR_HUMAN,0.0,0.21370023,0
AHRR_HUMAN,0.0,0.15327293,0
AHRR_HUMAN,0.0,0.20160034,0
ADAS_HUMAN,1.0,0.8434599,1
ADAS_HUMAN,1.0,0.42490226,0
ADAS_HUMAN,1.0,0.1888269,0
ADAS_HUMAN,1.0,0.16895537,0
ADAS_HUMAN,1.0,0.39275798,0
ADAS_HUMAN,1.0,0.39865938,0
ADAS_HUMAN,1.0,0.68706816,1
IKBE_HUMAN,0.0,0.15430312,0
IKBE_HUMAN,0.0,0.66705793,1
IKBE_HUMAN,0.0,0.6929287,1
IKBE_HUMAN,0.0,0.5941539,1
TAF4_HUMAN,1.0,0.62922466,1
TAF4_HUMAN,1.0,0.56279886,1
TAF4_HUMAN,1.0,0.60952157,1
TAF4_HUMAN,1.0,0.4412183,0
TAF4_HUMAN,1.0,0.8871996,1
TAF4_HUMAN,1.0,0.8951196,1
TAF4_HUMAN,1.0,0.9899272,1
TAF4_HUMAN,1.0,0.9952709,1
TAF4_HUMAN,1.0,0.992284,1
TAF4_HUMAN,1.0,0.9866128,1
TAF4_HUMAN,1.0,0.9915765,1
TAF4_HUMAN,1.0,0.99315053,1
TAF4_HUMAN,1.0,0.9748278,1
ELL2_HUMAN,0.0,0.78495234,1
ELL2_HUMAN,0.0,0.65226895,1
ELL2_HUMAN,0.0,0.6828884,1
ELL2_HUMAN,0.0,0.71331024,1
ELL2_HUMAN,0.0,0.50754726,1
ELL2_HUMAN,0.0,0.55910367,1
ELL2_HUMAN,0.0,0.5542844,1
UPK2_HUMAN,1.0,0.17643,0
BHE40_HUMAN,1.0,0.50178754,1
BHE40_HUMAN,1.0,0.66676575,1
BHE40_HUMAN,1.0,0.5406671,1
IMPA2_HUMAN,1.0,0.43803826,0
CDIPT_HUMAN,0.0,0.0023821816,0
RPC1_HUMAN,1.0,0.45891148,0
RPC1_HUMAN,1.0,0.44043636,0
RPC1_HUMAN,1.0,0.4062815,0
RPC1_HUMAN,1.0,0.39775515,0
RPC1_HUMAN,1.0,0.9565872,1
RPC1_HUMAN,1.0,0.91154957,1
RPC1_HUMAN,1.0,0.88982385,1
RPC1_HUMAN,1.0,0.42538965,0
RPC1_HUMAN,1.0,0.5357889,1
RPC1_HUMAN,1.0,0.7278318,1
RPC1_HUMAN,1.0,0.84493405,1
RPC1_HUMAN,1.0,0.7042019,1
RPC1_HUMAN,1.0,0.86095285,1
RPC1_HUMAN,1.0,0.7569178,1
RPC1_HUMAN,1.0,0.7583237,1
RPC1_HUMAN,1.0,0.70142627,1
RPC1_HUMAN,1.0,0.82598174,1
